0,\U0001f004
1,\U0001f0cf
2,\U0001f301
3,\U0001f302
4,\U0001f303
5,\U0001f304
6,\U0001f305
7,\U0001f306
8,\U0001f307
9,\U0001f308
10,\U0001f309
11,\U0001f30a
12,\U0001f30b
13,\U0001f30c
14,\U0001f30d
15,\U0001f30e
16,\U0001f30f
17,\U0001f310
18,\U0001f319
19,\U0001f31a
20,\U0001f31b
21,\U0001f31c
22,\U0001f31d
23,\U0001f31e
24,\U0001f31f
25,\U0001f320
26,\U0001f321
27,\U0001f324
28,\U0001f325
29,\U0001f326
30,\U0001f327
31,\U0001f328
32,\U0001f329
33,\U0001f32a
34,\U0001f32c
35,\U0001f32d
36,\U0001f32e
37,\U0001f32f
38,\U0001f330
39,\U0001f331
40,\U0001f332
41,\U0001f333
42,\U0001f334
43,\U0001f335
44,\U0001f336
45,\U0001f337
46,\U0001f338
47,\U0001f339
48,\U0001f33a
49,\U0001f33b
50,\U0001f33c
51,\U0001f33d
52,\U0001f33e
53,\U0001f33f
54,\U0001f340
55,\U0001f341
56,\U0001f342
57,\U0001f343
58,\U0001f344
59,\U0001f345
60,\U0001f346
61,\U0001f347
62,\U0001f348
63,\U0001f349
64,\U0001f34a
65,\U0001f34b
66,\U0001f34c
67,\U0001f34d
68,\U0001f34e
69,\U0001f34f
70,\U0001f350
71,\U0001f351
72,\U0001f352
73,\U0001f353
74,\U0001f354
75,\U0001f355
76,\U0001f356
77,\U0001f357
78,\U0001f358
79,\U0001f359
80,\U0001f35a
81,\U0001f35b
82,\U0001f35c
83,\U0001f35d
84,\U0001f35e
85,\U0001f35f
86,\U0001f360
87,\U0001f361
88,\U0001f362
89,\U0001f363
90,\U0001f364
91,\U0001f365
92,\U0001f366
93,\U0001f367
94,\U0001f368
95,\U0001f369
96,\U0001f36a
97,\U0001f36c
98,\U0001f36d
99,\U0001f36e
100,\U0001f36f
101,\U0001f370
102,\U0001f371
103,\U0001f372
104,\U0001f373
105,\U0001f374
106,\U0001f375
107,\U0001f376
108,\U0001f377
109,\U0001f378
110,\U0001f379
111,\U0001f37a
112,\U0001f37b
113,\U0001f37c
114,\U0001f37d
115,\U0001f37e
116,\U0001f37f
117,\U0001f380
118,\U0001f381
119,\U0001f382
120,\U0001f383
121,\U0001f384
122,\U0001f385\U0001f3fb
123,\U0001f385\U0001f3fc
